target,classification,action,owner,owner_range,session_hits,sources,proof
0x82171D84,return_continuation,retain_owner_no_promotion,0x82171C68,0x82171C68..0x82171EE0,36,0x82171F54:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8217200C,return_continuation,retain_owner_no_promotion,0x82171F60,0x82171F60..0x82172054,2,0x82171F54:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8217F3BC,return_continuation,retain_owner_no_promotion,0x8217F390,0x8217F390..0x8217F3E4,2,0x821F3D88:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x821A1448,return_continuation,retain_owner_no_promotion,0x821A1380,0x821A1380..0x821A1474,27,0x82226408:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x821AD704,return_continuation,retain_owner_no_promotion,0x821AD468,0x821AD468..0x821ADD4C,26,0x821C2A58:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8223A5CC,return_continuation,retain_owner_no_promotion,0x8223A210,0x8223A210..0x8223B12C,21727,0x821EB160:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x822904BC,return_continuation,retain_owner_no_promotion,0x82290478,0x82290478..0x822904E4,469,0x822D2D80:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x822C15E0,return_continuation,retain_owner_no_promotion,0x822C10A8,0x822C10A8..0x822C17C0,4,0x823D28BC:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x822C17B0,return_continuation,retain_owner_no_promotion,0x822C10A8,0x822C10A8..0x822C17C0,4,0x823D28BC:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x822D10D0,return_continuation,retain_owner_no_promotion,0x822D0F00,0x822D0F00..0x822D1244,91,0x82658BC4:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x822D10D8,return_continuation,retain_owner_no_promotion,0x822D0F00,0x822D0F00..0x822D1244,32,0x82658928:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x822D1114,return_continuation,retain_owner_no_promotion,0x822D0F00,0x822D0F00..0x822D1244,1323,0x82658470:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x822D11C0,return_continuation,retain_owner_no_promotion,0x822D0F00,0x822D0F00..0x822D1244,67,0x82658E94:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x822D28C0,return_continuation,retain_owner_no_promotion,0x822D2760,0x822D2760..0x822D28F8,1,0x8260A9D8:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x822E69C4,return_continuation,retain_owner_no_promotion,0x822E32A0,0x822E32A0..0x822EA1B8,3903,0x822D3654:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8236FE8C,return_continuation,retain_owner_no_promotion,0x8236FE38,0x8236FE38..0x8236FEC4,1,0x821E1134:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x824CAD3C,return_continuation,retain_owner_no_promotion,0x824CAA08,0x824CAA08..0x824CBA78,1,0x821C2A58:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8253EC5C,return_continuation,retain_owner_no_promotion,0x8253EB40,0x8253EB40..0x8253ED78,4,0x82541AB4:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8253EC80,return_continuation,retain_owner_no_promotion,0x8253EB40,0x8253EB40..0x8253ED78,4,0x82541AB4:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8253EF30,return_continuation,retain_owner_no_promotion,0x8253EEE0,0x8253EEE0..0x8253F010,4,0x82541AB4:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8253EF58,return_continuation,retain_owner_no_promotion,0x8253EEE0,0x8253EEE0..0x8253F010,4,0x82541AB4:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x82548400,return_continuation,retain_owner_no_promotion,0x825483B8,0x825483B8..0x8254848C,2,0x821F3D88:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x82563488,return_continuation,retain_owner_no_promotion,0x825633B0,0x825633B0..0x82563AD0,34,0x82A01170:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x82587400,return_continuation,retain_owner_no_promotion,0x82587278,0x82587278..0x825874D8,1,0x821C2A58:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x825F66FC,return_continuation,retain_owner_no_promotion,0x825F66D8,0x825F66D8..0x825F672C,840,0x825F665C:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x825FF054,return_continuation,retain_owner_no_promotion,0x825FEFC8,0x825FEFC8..0x825FF1FC,1,0x825FDC84:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x825FFD7C,return_continuation,retain_owner_no_promotion,0x825FFAD8,0x825FFAD8..0x82600758,24,0x821C2A58:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8260CF14,return_continuation,retain_owner_no_promotion,0x8260CDC0,0x8260CDC0..0x8260CF38,21,0x8260AFF8:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8262A3B0,return_continuation,retain_owner_no_promotion,0x82629E90,0x82629E90..0x8262A4F8,1,0x82625084:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x82659770,return_continuation,retain_owner_no_promotion,0x82659550,0x82659550..0x8265A004,21,0x825F65FC:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x826597D0,return_continuation,retain_owner_no_promotion,0x82659550,0x82659550..0x8265A004,51,0x825F665C:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x82659904,return_continuation,retain_owner_no_promotion,0x82659550,0x82659550..0x8265A004,238,0x825F65FC:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x82659948,return_continuation,retain_owner_no_promotion,0x82659550,0x82659550..0x8265A004,236,0x825F665C:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x82659CA0,return_continuation,retain_owner_no_promotion,0x82659550,0x82659550..0x8265A004,1680,0x825F65FC:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x82659E4C,return_continuation,retain_owner_no_promotion,0x82659550,0x82659550..0x8265A004,3,0x8219ECCC:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8265A7F4,return_continuation,retain_owner_no_promotion,0x8265A638,0x8265A638..0x8265AA28,99,0x82CA9A34:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x826A9D4C,return_continuation,retain_owner_no_promotion,0x826A9A60,0x826A9A60..0x826A9E54,3,0x821C2A58:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x826A9DC4,return_continuation,retain_owner_no_promotion,0x826A9A60,0x826A9A60..0x826A9E54,3,0x826AD53C:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x826A9E18,return_continuation,retain_owner_no_promotion,0x826A9A60,0x826A9A60..0x826A9E54,3,0x821E1134:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x826AA180,return_continuation,retain_owner_no_promotion,0x826AA060,0x826AA060..0x826AA22C,50,0x826AB1E8:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x826AB37C,return_continuation,retain_owner_no_promotion,0x826AB1F8,0x826AB1F8..0x826AB858,3,0x821E6824:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x826ABCEC,return_continuation,retain_owner_no_promotion,0x826ABCD0,0x826ABCD0..0x826AC5F0,3,0x826AB1E8:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x826C67FC,return_continuation,retain_owner_no_promotion,0x826C6698,0x826C6698..0x826C683C,588,0x826C93DC:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x827C6B14,return_continuation,retain_owner_no_promotion,0x827C6AF0,0x827C6AF0..0x827C71AC,1,0x827C6A4C:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x827CD21C,return_continuation,retain_owner_no_promotion,0x827CD180,0x827CD180..0x827CD230,1,0x827C6A4C:bclr,phase5a-reference-001-ownership/ownership-ledger.json
0x8281DAD8,return_continuation,retain_owner_no_promotion,0x8281D968,0x8281D968..0x8281DB5C,25,0x8251133C:bclr,phase5a-reference-001-ownership/ownership-ledger.json
